"filename", "language", "XML", "JavaScript JSX", "CSS", "JSON", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/README.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 4, 9
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/eslint.config.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 2, 39
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/index.html", "HTML", 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/package-lock.json", "JSON", 0, 0, 0, 5994, 0, 0, 0, 0, 1, 5995
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/package.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/public/vite.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/AllComponents/Contact.jsx", "JavaScript JSX", 0, 80, 0, 0, 0, 0, 0, 2, 11, 93
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/AllComponents/Footer.jsx", "JavaScript JSX", 0, 62, 0, 0, 0, 0, 0, 4, 8, 74
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/AllComponents/Home.jsx", "JavaScript JSX", 0, 91, 0, 0, 0, 0, 0, 4, 17, 112
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/AllComponents/ME.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/AllComponents/Navbar.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 9, 49
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/AllComponents/Project.jsx", "JavaScript JSX", 0, 62, 0, 0, 0, 0, 0, 1, 9, 72
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/AllComponents/ScrollEmoji.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 1, 6, 33
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/AllComponents/ShowProjectCard.jsx", "JavaScript JSX", 0, 71, 0, 0, 0, 0, 0, 6, 10, 87
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/AllComponents/SkillsSection.jsx", "JavaScript JSX", 0, 155, 0, 0, 0, 0, 0, 5, 13, 173
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/App.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/FramerMotion/SplitHeading.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 9, 49
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/assets/react.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/index.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 2, 3
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/src/main.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"/Users/dhruvpanchal/Desktop/Final portfolio/Portfoilio/vite.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 2, 2, 10
"Total", "-", 2, 679, 1, 6025, 43, 5, 15, 25, 119, 6914